Year,Month,Value
2019,8,3.7
2019,7,3.7
2019,6,3.7
2019,5,3.6
2019,4,3.6
2019,3,3.8
2019,2,3.8
2019,1,4
2018,12,3.9
2018,11,3.7
2018,10,3.8
2018,9,3.7
2018,8,3.8
2018,7,3.9
2018,6,4
2018,5,3.8
2018,4,3.9
2018,3,4
2018,2,4.1
2018,1,4.1
2017,12,4.1
2017,11,4.2
2017,10,4.1
2017,9,4.2
2017,8,4.4
2017,7,4.3
2017,6,4.3
2017,5,4.4
2017,4,4.4
2017,3,4.4
2017,2,4.7
2017,1,4.7
2016,12,4.7
2016,11,4.7
2016,10,4.9
2016,9,5
2016,8,4.9
2016,7,4.8
2016,6,4.9
2016,5,4.8
2016,4,5
2016,3,5
2016,2,4.9
2016,1,4.9
2015,12,5
2015,11,5.1
2015,10,5
2015,9,5
2015,8,5.1
2015,7,5.2
2015,6,5.3
2015,5,5.6
2015,4,5.4
2015,3,5.4
2015,2,5.5
2015,1,5.7
2014,12,5.6
2014,11,5.8
2014,10,5.7
2014,9,5.9
2014,8,6.1
2014,7,6.2
2014,6,6.1
2014,5,6.3
2014,4,6.2
2014,3,6.7
2014,2,6.7
2014,1,6.6
2013,12,6.7
2013,11,6.9
2013,10,7.2
2013,9,7.2
2013,8,7.2
2013,7,7.3
2013,6,7.5
2013,5,7.5
2013,4,7.6
2013,3,7.5
2013,2,7.7
2013,1,8
2012,12,7.9
2012,11,7.7
2012,10,7.8
2012,9,7.8
2012,8,8.1
2012,7,8.2
2012,6,8.2
2012,5,8.2
2012,4,8.2
2012,3,8.2
2012,2,8.3
2012,1,8.3
2011,12,8.5
2011,11,8.6
2011,10,8.8
2011,9,9
2011,8,9
2011,7,9
2011,6,9.1
2011,5,9
2011,4,9.1
2011,3,9
2011,2,9
2011,1,9.1
2010,12,9.3
2010,11,9.8
2010,10,9.4
2010,9,9.5
2010,8,9.5
2010,7,9.4
2010,6,9.4
2010,5,9.6
2010,4,9.9
2010,3,9.9
2010,2,9.8
2010,1,9.8
2009,12,9.9
2009,11,9.9
2009,10,10
2009,9,9.8
2009,8,9.6
2009,7,9.5
2009,6,9.5
2009,5,9.4
2009,4,9
2009,3,8.7
2009,2,8.3
2009,1,7.8
2008,12,7.3
2008,11,6.8
2008,10,6.5
2008,9,6.1
2008,8,6.1
2008,7,5.8
2008,6,5.6
2008,5,5.4
2008,4,5
2008,3,5.1
2008,2,4.9
2008,1,5
2007,12,5
2007,11,4.7
2007,10,4.7
2007,9,4.7
2007,8,4.6
2007,7,4.7
2007,6,4.6
2007,5,4.4
2007,4,4.5
2007,3,4.4
2007,2,4.5
2007,1,4.6
2006,12,4.4
2006,11,4.5
2006,10,4.4
2006,9,4.5
2006,8,4.7
2006,7,4.7
2006,6,4.6
2006,5,4.6
2006,4,4.7
2006,3,4.7
2006,2,4.8
2006,1,4.7
2005,12,4.9
2005,11,5
2005,10,5
2005,9,5
2005,8,4.9
2005,7,5
2005,6,5
2005,5,5.1
2005,4,5.2
2005,3,5.2
2005,2,5.4
2005,1,5.3
